Posizione	Alias	Stato_Utensile
3	FS25R2L85	IN_MACCHINA
5	FS25R2L125F128	IN_MACCHINA
8	FS16R2L80F85E6	IN_MACCHINA
10	FS16R2L80F85G5	IN_MACCHINA
12	FS10R2L50F55G3	IN_MACCHINA
14	FS10R2L70F75G3	IN_MACCHINA
16	FS6R1.5L30F35G1	IN_MACCHINA
18	FS6R1.5L42F50G1	IN_MACCHINA
20	FS4R1L24F30G1	IN_MACCHINA
22	FS4R1L32F40G1	IN_MACCHINA
23	FS2R0.5L10F25H4	IN_MACCHINA
24	FS2R0.5L20F35H4	IN_MACCHINA
25	FS16R1L48F63K6	IN_MACCHINA
26	FS16R1L80F85K6	IN_MACCHINA
27	FS10R0.5L30F34K3	IN_MACCHINA
28	FS10R0.5L50F60E3	IN_MACCHINA
29	FS6R0.5L18F20K1	IN_MACCHINA
30	FS6R0.5L30F32K1	IN_MACCHINA
33	FS6R3L30F35G1	IN_MACCHINA
32	FS10R5L50F55G3	IN_MACCHINA
34	FS4R2L20F30H4	IN_MACCHINA
35	FS2R1L12F30H4	IN_MACCHINA
36	FS2R1L20F35H4	IN_MACCHINA
37	P17.6-5VDF125K7	IN_MACCHINA
38	PI12-5VDF100H10	IN_MACCHINA
39	PI10-5VDF85H8	IN_MACCHINA
42	PI8-5VDF70H6	IN_MACCHINA
44	PI6-5VDF60H4	IN_MACCHINA
46	PM20X2.5F64E6	IN_MACCHINA
48	PM16X2F55E4	IN_MACCHINA
50	PM12X1.75F40E4	IN_MACCHINA
52	PM10X1.5F35E3	IN_MACCHINA
	PM8X1.25F30E2	SCAFFALE
	PM6X1F24E1	SCAFFALE
53	FF20R10F80H18	IN_MACCHINA
	FF6R3L30F35H4	SMONTATO_DA_PORTA_UTENSILE
56	FF4R2L20F35H4	IN_MACCHINA
57	FF2R1L12F30H4	IN_MACCHINA
58	FF2R1L20F35H4	IN_MACCHINA
60	FF16R1L48F63E6	IN_MACCHINA
62	FF16R1L80F90G5	IN_MACCHINA
63	FF10R0.5L30F34G3	IN_MACCHINA
64	FF10R0.5L50F60G3	IN_MACCHINA
65	FF6R0.5L18F20G1	IN_MACCHINA
66	FF6R0.5L30F35G1	IN_MACCHINA
67	FFPI42R0.8L114	IN_MACCHINA
68	FFPI25R0.8L110	IN_MACCHINA
69	SMUSSO-12	IN_MACCHINA
70	INCD0.5F25	IN_MACCHINA
	FS4R0.5L46F48E1-S	SCAFFALE
	FF10R5L30F40	SCAFFALE
80	FF12R0.5L60F70G4	IN_MACCHINA
83	PI4-5VDF45G1	IN_MACCHINA
84	FF10R5L50F55G3	IN_MACCHINA
86	FF16R1L80F90E6	IN_MACCHINA
93	PI11-5VDF100E4	IN_MACCHINA
94	PI4-20VDF100G1	IN_MACCHINA
95	PM8X1.25F45H6	IN_MACCHINA
99	FF2R0.5L20F35H4	IN_MACCHINA
97	FF6R0.1L15F32G1	IN_MACCHINA
98	FF2R0.1L12F25H2	IN_MACCHINA
96	PMD20.5F89K5	IN_MACCHINA
	A7F80E2	SCAFFALE
	PI6.8-5VDF60H6	SCAFFALE
55	FF6R3L30F35G1	IN_MACCHINA
1	RENISHAW	IN_MACCHINA
2	BLUM	IN_MACCHINA
102	FF1R0L4F20D4	IN_MACCHINA
59	FF1R0.5L3F25H4	IN_MACCHINA
76	FF6R0.5L56F58E1	IN_MACCHINA
	A6F65E1	SCAFFALE
	FF6R3L30F36H4H	SCAFFALE
	FF10R0.5L50F60	SCAFFALE
	FF6R0.1L18F20G1	SCAFFALE
92	A12.05F105E4	IN_MACCHINA
94	FS12R0.5L36F41K4	IN_MACCHINA
104	P14.1-5VDF102K6	IN_MACCHINA
110	PI4.6-15VDF100E1	IN_MACCHINA
108	PI4.6-5VDF45E1	IN_MACCHINA
106	PI6.8-5VDF55E2	IN_MACCHINA
113	FF4R0.5L46F48E1	IN_MACCHINA
115	FF4R1L57F60XE1	IN_MACCHINA
114	FS4R0.5L46F48E1	IN_MACCHINA
116	FS4R1L32F35XG1	IN_MACCHINA
90	FS6R0.5L56F58E1	IN_MACCHINA
86	PM6X1F30XE1	IN_MACCHINA
117	FF10R0.5L30F34H8	IN_MACCHINA
118	FF10R0.5L50F60H8	IN_MACCHINA
89	FF6R3L30F35H4	IN_MACCHINA
88	FF10R1L70F85E8-S	IN_MACCHINA
