ID	Alias_Utensile	Data_Smontaggio	Provenienza	Note
12	FS25R2L175F178	2025-12-13 09:01:40	Scaffale	
26	FF10R0.5L110F115	2026-01-15	Generatore	
27	FS10R0.5L110F115	2026-01-15	Generatore	
28	FF10R5L50F55	2026-01-15	Generatore	
29	A10.05F90	2026-01-15	Generatore	
6	FS10R2L70F75	2026-01-15	Generatore	
7	FS16R1L80F85	2026-01-15	Generatore	
9	FS10R2L70F75	2026-01-15	Generatore	
9	FS20R1L60F75	2026-01-15	Generatore	
10	FS12R0.5L36F41	2026-01-15	Generatore	
11	FS10R0.5L50F60	2026-01-15	Generatore	
12	FS10R0.5L50F60	2026-01-15	Generatore	
13	FF10R5L50F55	2026-01-15	Generatore	
14	FS10R5L50F55	2026-01-15	Generatore	
15	FS10R0.5L30F34	2026-01-15	Generatore	
16	FS8R0.5L24F27	2026-01-15	Generatore	
17	FS6R1.5L42F50	2026-01-15	Generatore	
18	FS4R1L24F30	2026-01-15	Generatore	
19	FS3R1.5L20F30	2026-01-15	Generatore	
21	FS2R0.5L20F30	2026-01-15	Generatore	
21	FF12R6L36F48	2026-01-15	Generatore	
22	FF12R6L36F48	2026-01-15	Generatore	
23	FF12R6L36F48	2026-01-15	Generatore	
26	FF2R1L6F25	2026-01-15	Generatore	
27	FF2R1L6F25	2026-01-15	Generatore	
26	FF1R0.5L3F25	2026-01-15	Generatore	
27	FF8R4L24F32	2026-01-15	Generatore	
28	FF8R4L24F32	2026-01-15	Generatore	
31	FS10R5L30F35	2026-01-15	Generatore	
31	FS2R1L6F25	2026-01-15	Generatore	
31	FF6R0.5L56F58	2026-01-15	Generatore	
32	FF4R0.5L46F48	2026-01-15	Generatore	
33	FF4R0.5L46F48	2026-01-15	Generatore	
34	FF10R0.5L30F36	2026-01-15	Generatore	
35	FF8R4L24F32	2026-01-15 18:22	Generatore	
36	FS12R0.5L60F70	2026-01-16	Generatore	
37	PI9-5VDF75	2026-01-16	Generatore	
38	PI9-5VDF75	2026-01-16	Generatore	
40	PI8.7-5VD	2026-01-16 15:53	Acquisto	
41	PI8.7-5VD	2026-01-16 15:53	Acquisto	
41	PI5.8-5VD	2026-01-16 15:54	Acquisto	
42	INC0.5F25	2026-01-16	Generatore	
43	A6F65	2026-01-16	Generatore	
44	PM16X2F55	2026-01-16	Generatore	
45	PM16X2F55	2026-01-16	Generatore	
